"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",11,"l1","t","es","na",0.944375,"lshift",3.3065,1,1,42,"exp_g1",22,2.362125
"2",12,"l1","t","es","na",0.823703,"rshift",2.9853,1,1,42,"exp_g1",22,2.161597
"3",13,"l1","t","es","na",1.352093,"lshift",2.9101,1,1,42,"exp_g1",22,1.558007
"4",14,"l1","t","es","na",0.788685,"rshift",2.2701,1,1,42,"exp_g1",22,1.481415
"5",15,"l1","t","es","na",0.882114,"lshift",2.3637,1,1,42,"exp_g1",22,1.481586
"6",16,"l1","t","es","na",1.694902,"rshift",2.9477,1,1,42,"exp_g1",22,1.252798
"7",17,"l1","t","es","na",1.328805,"lshift",2.673,1,1,42,"exp_g1",22,1.344195
"8",18,"l1","t","es","na",0.900375,"rshift",2.3447,1,1,42,"exp_g1",22,1.444325
"9",19,"l1","t","es","na",1.44153,"lshift",2.7553,1,1,42,"exp_g1",22,1.31377
"10",20,"l1","t","es","na",0.99676,"rshift",2.4087,1,1,42,"exp_g1",22,1.41194
"11",63,"l1","f","en","na",0.351376,"rshift",1.9423,1,1,42,"exp_g1",22,1.590924
"12",64,"l1","f","en","na",0.428572,"lshift",1.7487,1,1,42,"exp_g1",22,1.320128
"13",66,"l1","f","en","na",0.780001,"lshift",2.2257,1,1,42,"exp_g1",22,1.445699
"14",67,"l1","f","en","na",0.950804,"rshift",2.1113,1,1,42,"exp_g1",22,1.160496
"15",68,"l1","f","en","na",0.600784,"lshift",2.2376,1,1,42,"exp_g1",22,1.636816
"16",71,"l1","f","en","na",1.261129,"rshift",2.4456,1,1,42,"exp_g1",22,1.184471
"17",72,"l1","f","en","na",0.83156,"lshift",2.0583,1,1,42,"exp_g1",22,1.22674
"18",73,"l1","f","en","na",0.877576,"rshift",2.1033,1,1,42,"exp_g1",22,1.225724
"19",74,"l1","f","en","na",0.396484,"lshift",1.9003,1,1,42,"exp_g1",22,1.503816
"20",75,"l1","f","en","na",0.913493,"rshift",2.1181,1,1,42,"exp_g1",22,1.204607
"21",131,"l1","t","es","f0u",0.7884375,"lshift",2.2105,1,1,42,"exp_g1",22,1.4220625
"22",132,"l1","t","es","f0u",0.92128125,"rshift",3.0475,1,1,42,"exp_g1",22,2.12621875
"23",133,"l1","t","es","f0u",0.77825,"lshift",2.3104,1,1,42,"exp_g1",22,1.53215
"24",134,"l1","t","es","f0u",0.91259375,"rshift",2.8409,1,1,42,"exp_g1",22,1.92830625
"25",135,"l1","t","es","f0u",0.8595,"lshift",2.2932,1,1,42,"exp_g1",22,1.4337
"26",136,"l1","t","es","f0u",0.974875,"rshift",3.5679,1,1,42,"exp_g1",22,2.593025
"27",137,"l1","t","es","f0u",0.635125,"lshift",2.0769,1,1,42,"exp_g1",22,1.441775
"28",138,"l1","t","es","f0u",0.9708125,"rshift",2.4573,1,1,42,"exp_g1",22,1.4864875
"29",139,"l1","t","es","f0u",1.1799375,"lshift",2.875,1,1,42,"exp_g1",22,1.6950625
"30",140,"l1","t","es","f0u",1.108625,"rshift",2.8235,1,1,42,"exp_g1",22,1.714875
