"","num","list","cond","lang","type","mat_dur","exp1_key.keys","exp1_key.rt","exp1_key.corr","cor_rate","participant","group","prof","rt"
"1",21,"l2","t","es","na",0.704021,"lshift",2.248,1,0.966666666666667,33,"exp_g2",12,1.543979
"2",22,"l2","t","es","na",0.863963,"rshift",2.0765,1,0.966666666666667,33,"exp_g2",12,1.212537
"3",23,"l2","t","es","na",0.806296,"lshift",2.3297,1,0.966666666666667,33,"exp_g2",12,1.523404
"4",24,"l2","t","es","na",0.817267,"rshift",2.4066,1,0.966666666666667,33,"exp_g2",12,1.589333
"5",25,"l2","t","es","na",0.909694,"lshift",2.92,1,0.966666666666667,33,"exp_g2",12,2.010306
"6",26,"l2","t","es","na",0.977641,"rshift",2.1915,1,0.966666666666667,33,"exp_g2",12,1.213859
"7",27,"l2","t","es","na",0.619246,"lshift",1.983,1,0.966666666666667,33,"exp_g2",12,1.363754
"8",28,"l2","t","es","na",0.937816,"rshift",2.4705,1,0.966666666666667,33,"exp_g2",12,1.532684
"9",30,"l2","t","es","na",1.133667,"rshift",2.4113,1,0.966666666666667,33,"exp_g2",12,1.277633
"10",98,"l2","f","en","na",0.376142,"rshift",1.8238,1,0.966666666666667,33,"exp_g2",12,1.447658
"11",99,"l2","f","en","na",0.462405,"lshift",1.6992,1,0.966666666666667,33,"exp_g2",12,1.236795
"12",101,"l2","f","en","na",0.924484,"lshift",2.1419,1,0.966666666666667,33,"exp_g2",12,1.217416
"13",102,"l2","f","en","na",1.021105,"rshift",2.0628,1,0.966666666666667,33,"exp_g2",12,1.041695
"14",103,"l2","f","en","na",0.594925,"lshift",1.9579,1,0.966666666666667,33,"exp_g2",12,1.362975
"15",106,"l2","f","en","na",1.203962,"rshift",2.3756,1,0.966666666666667,33,"exp_g2",12,1.171638
"16",107,"l2","f","en","na",0.740095,"lshift",2.0474,1,0.966666666666667,33,"exp_g2",12,1.307305
"17",108,"l2","f","en","na",0.818995,"rshift",2.2241,1,0.966666666666667,33,"exp_g2",12,1.405105
"18",109,"l2","f","en","na",0.344097,"lshift",1.6086,1,0.966666666666667,33,"exp_g2",12,1.264503
"19",110,"l2","f","en","na",0.973278,"rshift",2.3628,1,0.966666666666667,33,"exp_g2",12,1.389522
"20",151,"l1","t","es","f0c",0.7884375,"lshift",1.9798,1,0.966666666666667,33,"exp_g2",12,1.1913625
"21",152,"l1","t","es","f0c",0.92128125,"rshift",2.3238,1,0.966666666666667,33,"exp_g2",12,1.40251875
"22",153,"l1","t","es","f0c",0.77825,"lshift",2.2616,1,0.966666666666667,33,"exp_g2",12,1.48335
"23",154,"l1","t","es","f0c",0.91259375,"rshift",3.4741,1,0.966666666666667,33,"exp_g2",12,2.56150625
"24",155,"l1","t","es","f0c",0.8595,"lshift",2.1585,1,0.966666666666667,33,"exp_g2",12,1.299
"25",156,"l1","t","es","f0c",0.974875,"rshift",2.718,1,0.966666666666667,33,"exp_g2",12,1.743125
"26",157,"l1","t","es","f0c",0.635125,"lshift",2.0992,1,0.966666666666667,33,"exp_g2",12,1.464075
"27",158,"l1","t","es","f0c",0.9708125,"rshift",2.3009,1,0.966666666666667,33,"exp_g2",12,1.3300875
"28",159,"l1","t","es","f0c",1.1799375,"lshift",2.5734,1,0.966666666666667,33,"exp_g2",12,1.3934625
"29",160,"l1","t","es","f0c",1.108625,"rshift",2.6138,1,0.966666666666667,33,"exp_g2",12,1.505175
